Team,Map,ACS,K,D,A,KD_DIFF,ADR,HS%,ECON,FK,FD,KPR,DPR,APR,FKPR,FDPR,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,PL,DE,total_mult_kill,MKPR,total_clutch,CPR,jett,raze,phoenix,reyna,yoru,omen,brimstone,viper,cypher,sage,killjoy,breach,sova,skye,rounds_won,rounds_lost,ct_rounds_won,ct_rounds_lost,t_rounds_won,t_rounds_lost,total_rounds,win_rate,ct_wr,t_wr,Pistol_W,Pistol_P,Pistol_WR,Eco_0_5_P,Eco_0_5_W,Eco_0_5_WR,Semi_Eco_5_10_P,Semi_Eco_5_10_W,Semi_Eco_5_10_WR,Semi_Buy_10_20_P,Semi_Buy_10_20_W,Semi_Buy_10_20_WR,Full_Buy_20_P,Full_Buy_20_W,Full_Buy_20_WR
1tap,ASCENT,200.57,12.57,16.14,2.57,-3.57,121.74,26.43,48.43,9.0,18.0,4.63,5.93,0.95,0.48,0.94,20.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,2.0,24.0,1.26,2.0,0.1,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,6.0,13.0,5.0,7.0,1.0,6.0,19.0,31.58,41.67,14.29,1.0,2.0,50.0,3.0,1.0,33.0,3.0,1.0,33.0,5.0,1.0,20.0,8.0,3.0,38.0
1tap,BIND,174.21,13.07,15.93,4.08,-2.86,113.96,20.57,48.5,12.5,19.0,4.15,5.06,1.28,0.57,0.88,16.5,4.5,0.5,0.0,0.5,0.0,0.0,0.0,0.0,6.0,2.5,21.5,0.97,0.5,0.02,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,9.0,13.0,5.5,5.0,3.5,8.0,22.0,40.79,51.38,30.3,0.5,2.0,25.0,3.5,0.5,16.5,1.0,0.5,50.0,3.0,1.5,62.5,14.5,6.5,45.0
3P,ASCENT,188.2,13.4,16.4,4.0,-3.0,111.3,17.8,45.6,6.0,15.0,3.18,3.9,0.96,0.29,0.72,12.0,4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,6.0,1.0,17.0,0.83,2.0,0.1,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,13.0,3.0,6.0,5.0,7.0,21.0,38.1,33.33,41.67,1.0,2.0,50.0,2.0,1.0,50.0,2.0,2.0,100.0,8.0,2.0,25.0,9.0,3.0,33.0
ANA,SPLIT,164.07,10.13,14.13,3.53,-4.0,100.0,19.0,40.67,7.33,11.0,2.75,3.94,0.97,0.42,0.59,10.33,1.33,0.33,0.0,1.0,0.0,0.0,0.0,0.0,3.33,1.67,12.0,0.64,1.0,0.06,0.67,1.0,0.0,0.33,0.0,0.67,0.33,0.0,1.0,0.0,0.0,0.67,0.33,0.0,5.33,13.0,3.0,9.0,2.33,4.0,18.33,27.73,25.0,40.0,0.67,2.0,33.33,3.33,1.0,30.33,0.67,0.0,0.0,5.67,2.0,38.0,8.67,2.33,23.0
ATHZ,ASCENT,211.6,17.8,17.0,6.0,0.8,128.08,18.0,51.0,13.0,11.0,3.7,3.54,1.25,0.53,0.45,18.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,3.0,22.0,0.92,1.0,0.04,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,11.0,13.0,8.0,4.0,3.0,9.0,24.0,45.83,66.67,25.0,2.0,2.0,100.0,3.0,2.0,67.0,2.0,0.0,0.0,4.0,2.0,50.0,15.0,7.0,47.0
ATHZ,BIND,181.4,14.2,16.2,5.8,-2.0,113.12,20.0,44.6,14.0,9.0,3.09,3.54,1.25,0.6,0.38,12.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,2.0,17.0,0.73,1.0,0.04,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,10.0,13.0,6.0,6.0,4.0,7.0,23.0,43.48,50.0,36.36,2.0,2.0,100.0,2.0,2.0,100.0,2.0,1.0,50.0,6.0,3.0,50.0,13.0,4.0,31.0
ATHZ,HAVEN,210.2,16.0,13.0,7.2,3.0,141.48,20.2,60.5,13.0,8.5,3.73,3.01,1.68,0.6,0.4,17.0,3.5,0.5,0.0,1.5,0.5,0.0,0.0,0.0,8.0,3.5,21.0,0.98,2.0,0.09,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,13.0,8.5,5.5,6.5,7.5,2.0,21.5,60.76,45.84,80.12,1.0,2.0,50.0,3.0,1.0,50.0,0.5,0.5,50.0,3.5,3.0,91.5,14.5,8.5,57.5
ATHZ,ICEBOX,203.1,15.4,16.6,4.5,-1.2,128.43,22.6,52.2,9.0,13.0,3.49,3.78,1.03,0.41,0.58,13.5,4.5,0.5,0.0,1.0,0.0,0.0,0.0,0.0,10.5,2.5,18.5,0.84,1.0,0.04,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,10.5,11.5,3.0,7.0,7.5,4.5,22.0,47.31,29.29,62.5,1.0,2.0,50.0,3.0,1.0,33.0,2.5,0.0,0.0,4.0,1.5,36.5,12.5,8.0,62.0
ATHZ,SPLIT,175.2,10.4,13.8,2.8,-3.4,120.96,17.4,56.6,9.0,9.0,2.9,3.83,0.79,0.51,0.51,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,9.0,0.51,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,13.0,5.0,7.0,0.0,6.0,18.0,27.78,41.67,0.0,0.0,2.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,10.0,5.0,50.0
B4,ASCENT,177.7,11.4,14.75,4.45,-3.35,113.46,19.9,45.9,7.0,11.75,3.04,3.93,1.19,0.38,0.63,10.5,2.75,0.25,0.0,0.25,0.0,0.0,0.0,0.0,6.25,0.0,13.5,0.72,0.25,0.01,1.0,0.25,0.0,0.0,0.0,1.0,0.0,0.0,0.75,0.75,0.0,0.25,1.0,0.0,5.75,13.0,1.5,5.25,4.25,7.75,18.75,30.54,22.92,35.42,0.75,2.0,37.5,3.25,0.75,24.75,1.25,0.25,25.0,4.25,1.5,35.75,10.0,3.25,32.0
B4,BIND,194.87,17.53,17.8,6.2,-0.27,122.29,21.0,47.33,11.67,14.67,3.32,3.41,1.19,0.44,0.55,15.67,4.67,1.0,0.67,1.0,0.67,0.33,0.0,0.0,9.0,2.33,22.0,0.84,2.0,0.08,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.67,0.0,0.0,0.33,1.0,0.0,12.67,13.67,4.33,7.67,6.67,5.0,26.33,47.48,36.11,56.82,1.33,2.0,66.67,2.67,1.33,55.33,2.0,0.67,22.33,6.0,2.67,47.67,15.67,8.0,48.0
B4,HAVEN,185.0,13.87,16.27,5.6,-2.4,117.43,22.8,47.27,9.67,12.33,3.13,3.71,1.27,0.44,0.57,11.33,3.33,0.67,0.0,2.0,0.33,0.33,0.0,0.0,7.33,1.67,15.33,0.69,2.67,0.13,1.0,0.33,0.33,0.33,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,9.67,12.33,3.33,7.67,6.33,4.67,22.0,43.46,30.56,58.34,1.0,2.0,50.0,3.67,1.0,27.67,2.0,0.33,16.67,4.0,2.33,58.33,12.33,6.0,47.33
B4,SPLIT,198.6,14.47,15.0,4.8,-0.53,123.72,20.47,51.67,10.33,11.0,3.39,3.5,1.12,0.48,0.52,13.67,3.33,0.33,0.0,1.0,0.0,0.0,0.0,0.0,5.33,1.67,17.33,0.81,1.0,0.05,0.33,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.67,1.0,0.0,0.0,10.33,11.0,4.67,6.0,5.67,5.0,21.33,48.86,43.06,52.36,0.67,2.0,33.33,3.0,0.67,27.67,2.67,0.67,25.0,2.67,1.67,61.0,13.0,7.33,57.0
BD,ASCENT,213.09,14.58,12.78,5.6,1.8,129.67,21.02,53.56,10.73,8.73,3.77,3.25,1.44,0.56,0.45,13.0,4.36,0.73,0.0,1.09,0.55,0.09,0.0,0.0,6.36,2.09,18.09,0.94,1.73,0.09,0.91,0.64,0.18,0.27,0.0,1.0,0.0,0.0,0.55,0.0,0.27,0.18,1.0,0.0,11.45,8.0,6.45,2.82,5.0,5.18,19.45,59.86,71.34,51.52,1.27,2.0,63.64,2.64,1.27,59.0,0.91,0.18,18.18,4.36,2.64,62.27,11.55,7.36,63.64
BD,BIND,203.89,14.6,13.38,5.29,1.22,128.12,23.82,52.84,9.33,10.89,3.59,3.33,1.3,0.46,0.55,15.22,4.11,0.56,0.0,0.67,0.22,0.11,0.0,0.0,5.89,2.22,19.89,0.97,1.0,0.05,0.44,1.0,0.11,0.33,0.11,0.78,0.22,0.0,1.0,0.0,0.0,0.0,1.0,0.0,10.78,9.44,6.22,4.22,4.33,5.0,20.22,53.5,53.73,55.16,1.22,2.0,61.11,2.78,1.22,55.56,1.22,0.22,13.33,3.56,2.22,54.56,12.67,7.11,52.56
BD,HAVEN,197.31,14.94,15.37,5.37,-0.43,125.54,21.0,49.46,10.86,11.29,3.42,3.43,1.23,0.49,0.51,12.29,4.0,0.71,0.0,1.29,0.14,0.14,0.0,0.0,8.71,2.43,17.0,0.78,1.57,0.07,0.86,1.0,0.0,0.0,0.14,1.0,0.0,0.0,0.86,0.0,0.0,0.14,1.0,0.0,10.86,11.29,5.14,5.43,5.71,5.57,22.14,49.94,48.65,50.0,0.86,2.0,42.86,2.86,1.0,41.57,1.29,0.29,17.86,4.29,2.29,55.29,13.71,7.29,52.14
BD,SPLIT,192.44,15.0,16.24,5.12,-1.24,120.52,21.56,50.0,11.4,11.2,3.32,3.59,1.12,0.5,0.5,12.2,3.8,0.8,0.4,1.4,0.6,0.0,0.0,0.0,6.2,2.8,17.2,0.77,2.0,0.09,1.0,0.8,0.0,0.2,0.0,1.0,0.0,0.2,1.0,0.0,0.0,0.8,0.0,0.0,10.4,12.2,6.4,5.0,4.0,7.2,22.6,46.0,55.56,35.76,1.4,2.0,70.0,3.2,1.4,50.0,2.0,0.6,36.6,4.0,1.2,18.6,13.4,7.2,52.8
DG,ASCENT,197.8,20.7,23.3,6.9,-2.6,138.96,20.8,49.3,15.5,15.5,3.3,3.9,1.14,0.48,0.52,16.0,8.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,7.0,1.5,26.0,0.86,3.0,0.11,0.0,1.0,0.0,0.5,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.5,1.0,0.0,14.5,16.5,6.0,6.0,3.5,6.5,31.0,43.69,50.0,33.34,0.5,2.0,25.0,4.5,0.5,16.5,1.5,0.5,25.0,3.0,1.0,37.5,22.0,12.5,60.5
DG,BIND,174.8,15.4,19.6,3.4,-4.2,111.8,19.6,39.6,14.0,12.0,2.96,3.77,0.66,0.53,0.46,15.0,3.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,4.0,3.0,18.0,0.7,4.0,0.16,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,12.0,14.0,10.0,2.0,2.0,10.0,26.0,46.15,83.33,16.67,1.0,2.0,50.0,3.0,1.0,33.0,2.0,0.0,0.0,6.0,4.0,67.0,15.0,7.0,47.0
DG,HAVEN,208.33,18.8,17.47,7.87,1.33,134.24,19.73,49.53,14.0,11.67,3.69,3.35,1.5,0.57,0.44,19.0,4.0,1.0,0.0,0.33,0.67,0.67,0.0,0.0,8.67,4.0,24.0,0.95,1.67,0.06,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,14.0,11.67,6.0,6.0,6.33,4.0,25.67,55.9,50.0,62.7,1.67,2.0,83.33,2.67,1.67,66.67,1.33,0.33,8.33,4.67,2.67,44.67,17.0,9.33,57.0
DG,SPLIT,183.6,13.0,16.4,5.0,-3.4,128.08,23.6,50.4,12.0,9.0,3.09,3.9,1.19,0.58,0.44,11.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,9.0,0.0,15.0,0.71,2.0,0.1,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,8.0,13.0,0.0,12.0,8.0,1.0,21.0,38.1,0.0,88.89,1.0,2.0,50.0,3.0,1.0,33.0,2.0,0.0,0.0,6.0,1.0,17.0,10.0,6.0,60.0
DLWZK,ASCENT,203.48,14.28,14.24,5.44,0.04,130.89,19.88,54.04,10.4,9.8,3.57,3.47,1.36,0.52,0.48,13.6,3.2,1.4,0.0,1.0,0.6,0.2,0.0,0.0,7.0,2.2,18.2,0.91,1.8,0.09,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2,0.0,0.8,0.0,1.0,0.0,10.0,10.2,5.0,4.2,5.0,6.0,20.2,51.12,57.86,42.8,1.0,2.0,50.0,2.8,1.2,43.2,1.6,0.4,13.4,7.2,3.4,48.4,9.8,5.6,51.4
DLWZK,BIND,193.7,13.6,16.1,5.6,-2.5,122.14,20.9,50.2,7.0,14.0,3.2,3.88,1.31,0.32,0.68,15.5,4.0,0.5,0.0,1.0,1.0,0.0,0.0,0.0,6.0,1.5,20.0,0.93,2.0,0.1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,8.0,13.0,4.5,7.5,3.5,5.5,21.0,36.8,37.5,33.34,1.0,2.0,50.0,3.5,1.0,33.5,2.0,0.5,25.0,7.0,4.0,53.5,8.5,2.5,29.5
DLWZK,HAVEN,186.13,15.0,16.8,5.47,-1.8,117.64,17.33,44.4,10.67,12.67,3.14,3.68,1.15,0.44,0.55,11.67,4.67,1.33,0.33,0.67,0.33,0.67,0.0,0.0,9.0,2.67,18.0,0.75,1.67,0.08,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,10.33,13.0,5.33,4.67,4.67,7.33,23.33,42.79,58.33,38.89,1.0,2.0,50.0,3.33,1.0,30.33,1.33,0.67,33.33,4.67,1.67,40.0,14.0,7.0,47.0
DLWZK,ICEBOX,239.8,18.0,14.8,7.6,3.2,146.34,20.2,57.2,11.0,10.0,4.28,3.52,1.8,0.53,0.47,18.0,6.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,4.0,25.0,1.2,2.0,0.1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,13.0,8.0,8.0,4.0,5.0,4.0,21.0,61.9,66.67,55.56,1.0,2.0,50.0,3.0,2.0,67.0,0.0,0.0,0.0,2.0,1.0,50.0,16.0,10.0,62.0
DLWZK,SPLIT,205.2,13.9,13.5,4.0,0.4,124.64,19.8,50.9,8.5,11.0,3.6,3.42,1.03,0.46,0.56,14.5,2.0,0.5,0.5,1.0,1.5,0.0,0.0,0.0,7.0,1.5,17.5,0.92,2.5,0.14,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.5,10.5,9.0,4.0,3.5,6.0,5.5,19.5,55.16,58.33,52.66,1.0,2.0,50.0,2.5,1.5,58.5,0.5,0.0,0.0,8.0,4.0,52.5,8.5,5.0,49.5
Estral,ASCENT,194.9,17.0,18.8,6.4,-1.8,128.43,18.8,48.5,15.5,9.5,3.4,3.76,1.28,0.63,0.38,14.0,5.0,0.5,0.0,0.5,1.0,0.0,0.0,0.0,6.0,3.0,19.5,0.78,1.5,0.06,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,11.5,13.5,8.0,4.0,3.5,8.5,25.0,45.99,66.67,29.16,1.5,2.0,75.0,2.5,1.5,66.5,2.5,0.0,0.0,4.5,2.5,55.0,15.5,7.5,48.5
Estral,BIND,252.2,13.4,3.8,5.8,9.6,155.66,27.8,87.0,12.0,2.0,4.78,1.36,2.07,0.85,0.14,12.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,19.0,1.36,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,13.0,1.0,11.0,1.0,2.0,0.0,14.0,92.86,91.67,100.0,2.0,2.0,100.0,2.0,2.0,100.0,0.0,0.0,0.0,2.0,2.0,100.0,10.0,9.0,90.0
FKL,ASCENT,191.1,16.0,15.8,4.9,0.2,118.84,18.8,46.2,14.5,9.5,3.34,3.29,1.02,0.6,0.38,17.0,2.5,0.5,0.0,0.0,0.0,0.5,0.0,0.0,8.5,1.0,20.0,0.82,0.5,0.02,1.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.5,0.5,0.0,1.0,0.0,11.0,13.0,5.0,7.0,6.0,6.0,24.0,45.83,41.67,50.0,1.5,2.0,75.0,3.0,2.0,67.0,0.5,0.5,50.0,6.5,2.5,39.0,14.0,6.0,43.0
FKL,BIND,176.6,9.6,15.6,4.1,-6.0,119.05,18.9,47.9,6.5,10.5,2.8,4.6,1.21,0.4,0.62,6.5,4.0,0.0,0.0,1.0,1.5,0.0,0.0,0.0,5.0,0.0,10.5,0.61,2.5,0.14,1.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.5,0.5,1.0,0.0,4.0,13.0,1.0,4.0,3.0,9.0,17.0,22.46,14.28,25.0,0.0,2.0,0.0,2.5,0.0,0.0,3.5,1.0,29.0,6.5,2.0,25.0,4.5,1.0,22.5
FKL,HAVEN,197.9,12.0,12.8,4.6,-0.8,119.17,23.8,47.0,9.5,8.0,3.44,3.64,1.32,0.55,0.46,12.5,2.5,1.0,0.5,2.0,0.5,0.0,0.0,0.0,3.0,2.0,16.5,0.94,2.5,0.15,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,0.0,0.0,0.5,0.0,9.0,8.5,6.0,6.0,3.0,2.5,17.5,52.12,50.0,56.66,1.0,2.0,50.0,2.5,1.0,50.0,1.0,0.0,0.0,6.0,4.0,71.5,8.0,4.0,46.5
FKL,SPLIT,169.8,10.35,14.85,3.5,-4.5,109.46,18.45,44.55,6.25,12.0,2.82,4.11,0.95,0.34,0.67,9.25,2.75,0.25,0.0,1.25,0.0,0.0,0.0,0.0,2.5,1.75,12.25,0.66,1.25,0.07,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.75,0.5,0.75,0.0,0.0,0.0,5.25,13.0,3.75,6.0,1.5,7.0,18.25,27.7,31.25,19.05,0.75,2.0,37.5,3.0,0.75,24.75,2.25,0.25,6.25,6.0,1.5,24.0,7.0,2.75,33.5
FURIA,ASCENT,221.0,16.0,12.87,6.2,3.13,139.79,21.4,59.07,11.67,8.67,3.93,3.16,1.52,0.58,0.43,17.0,3.67,1.0,0.0,1.0,1.0,0.0,0.0,0.0,7.67,3.67,21.67,1.07,2.0,0.1,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,13.0,7.33,6.67,3.67,6.33,3.67,20.33,64.07,65.48,62.97,0.33,2.0,16.67,2.67,0.67,27.67,0.67,0.33,16.67,4.67,3.67,76.67,12.33,8.33,67.33
FURIA,HAVEN,236.5,16.9,13.7,8.0,3.2,141.23,22.6,62.3,13.0,7.5,4.25,3.12,2.04,0.66,0.35,12.0,4.0,1.5,0.0,2.0,0.5,0.5,0.0,0.0,6.5,4.5,17.5,0.92,3.0,0.14,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,13.5,7.0,7.5,4.5,5.0,2.5,20.5,70.26,62.5,79.16,1.0,2.0,50.0,2.0,1.0,50.0,2.0,1.0,66.5,6.0,4.0,78.0,10.5,7.5,73.5
